YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
85 09 19 07 308 05.1 06.5 02.20 11.10 07.10 999 1018.2  07.0 999.0 999.0 99.0
85 09 19 10 253 04.8 06.2 02.00 10.00 07.00 999 1019.1  07.1 999.0 999.0 99.0
85 09 19 11 255 05.1 06.7 02.20 10.00 07.30 999 1019.3  06.9 999.0 999.0 99.0
85 09 19 12 277 03.4 05.5 02.20 10.00 07.40 999 1019.4  06.9 999.0 999.0 99.0
85 09 19 13 260 04.8 06.4 02.20 10.00 07.60 999 1019.3  06.9 999.0 999.0 99.0
85 09 19 14 258 03.4 05.0 02.00 09.10 07.40 999 1019.3  06.9 999.0 999.0 99.0
85 09 19 15 243 05.1 06.5 02.00 10.00 07.60 999 1019.2  06.7 999.0 999.0 99.0
85 09 19 16 245 05.9 07.4 01.90 10.00 07.50 999 1019.2  06.7 999.0 999.0 99.0
85 09 19 17 240 04.8 06.3 01.80 10.00 07.50 999 1019.4  06.7 999.0 999.0 99.0
85 09 19 18 251 05.5 07.3 01.80 09.10 07.20 999 1019.5  06.7 999.0 999.0 99.0
85 09 19 19 239 04.9 06.6 01.50 09.10 06.50 999 1019.9  06.7 999.0 999.0 99.0
85 09 19 20 243 05.6 07.7 01.40 09.10 06.30 999 1019.9  07.0 999.0 999.0 99.0
85 09 19 21 228 05.9 07.8 01.20 09.10 06.10 999 1020.0  07.1 999.0 999.0 99.0
85 09 19 22 233 06.3 08.3 01.30 09.10 06.20 999 1020.1  07.1 999.0 999.0 99.0
85 09 19 23 223 07.1 08.4 01.40 08.30 06.20 999 1020.0  07.3 999.0 999.0 99.0
85 09 20 00 215 06.7 08.3 01.20 09.10 05.80 999 1020.0  07.6 999.0 999.0 99.0
85 09 20 01 219 06.8 08.3 01.20 09.10 05.60 999 1019.9  07.6 999.0 999.0 99.0
85 09 20 02 224 07.0 08.7 01.20 14.30 05.40 999 1019.8  07.7 999.0 999.0 99.0
85 09 20 03 240 06.9 09.1 01.40 05.00 05.30 999 1019.7  07.9 999.0 999.0 99.0
85 09 20 04 255 06.4 09.0 01.30 09.10 05.10 999 1019.8  07.9 999.0 999.0 99.0
85 09 20 05 263 06.2 07.8 01.30 14.30 05.20 999 1019.8  07.9 999.0 999.0 99.0
85 09 20 06 249 06.5 08.4 01.20 05.00 05.10 999 1019.7  08.0 999.0 999.0 99.0
85 09 20 07 261 05.8 07.5 01.20 05.00 04.90 999 1020.2  08.1 999.0 999.0 99.0
85 09 20 10 234 05.3 06.3 01.10 06.70 05.20 999 1020.8  08.2 999.0 999.0 99.0
85 09 20 11 241 05.3 06.3 01.10 05.90 05.40 999 1020.8  08.3 999.0 999.0 99.0
85 09 20 12 234 05.2 05.9 01.20 06.30 05.50 999 1020.9  08.4 999.0 999.0 99.0
85 09 20 13 257 04.2 05.3 01.20 06.30 05.40 999 1020.8  08.4 999.0 999.0 99.0
85 09 20 14 280 04.0 05.3 01.10 05.60 05.40 999 1020.6  08.3 999.0 999.0 99.0
85 09 20 15 317 04.1 05.0 01.20 06.30 05.40 999 1020.3  08.1 999.0 999.0 99.0
85 09 20 16 321 04.4 05.5 01.10 05.90 05.30 999 1020.2  07.9 999.0 999.0 99.0
85 09 20 17 322 03.9 04.8 01.10 05.90 05.30 999 1020.3  07.9 999.0 999.0 99.0
85 09 20 18 329 03.5 04.6 01.10 05.90 05.30 999 1020.4  07.9 999.0 999.0 99.0
85 09 20 19 351 02.4 03.3 01.00 06.30 05.30 999 1020.5  08.1 999.0 999.0 99.0
85 09 20 20 004 02.5 03.1 01.00 06.70 05.40 999 1020.8  08.3 999.0 999.0 99.0
85 09 20 21 004 02.9 03.8 00.90 06.30 05.30 999 1020.7  08.5 999.0 999.0 99.0
85 09 20 22 006 02.4 03.7 00.90 06.70 05.40 999 1020.7  08.4 999.0 999.0 99.0
85 09 20 23 015 03.3 04.3 00.90 06.30 05.30 999 1020.5  08.2 999.0 999.0 99.0
85 09 21 00 022 01.8 02.5 00.80 06.30 05.30 999 1020.6  08.4 999.0 999.0 99.0
85 09 21 01 047 02.3 03.2 00.80 06.30 05.20 999 1020.3  08.5 999.0 999.0 99.0
85 09 21 02 017 03.0 03.7 00.80 05.90 05.40 999 1020.0  08.4 999.0 999.0 99.0
85 09 21 03 030 02.6 03.5 00.80 05.90 05.30 999 1019.9  08.6 999.0 999.0 99.0
85 09 21 04 035 03.1 03.8 00.80 05.90 05.50 999 1019.8  08.2 999.0 999.0 99.0
85 09 21 05 036 02.9 03.7 00.70 05.90 05.30 999 1019.8  08.1 999.0 999.0 99.0
85 09 21 06 045 03.1 04.0 00.70 05.90 05.40 999 1019.6  07.9 999.0 999.0 99.0
85 09 21 07 045 03.8 04.7 00.90 05.60 05.60 999 1019.4  08.0 999.0 999.0 99.0
85 09 21 10 041 03.9 04.6 00.80 06.70 05.50 999 1018.9  08.0 999.0 999.0 99.0
